stone 石頭
nether_gold_ore 地獄金礦
nether_quartz_ore 地獄石英礦
ancient_debris 遠古遺骸
coal_block 煤炭方塊
raw_iron_block 鐵原礦方塊
raw_copper_block 銅原礦方塊
raw_gold_block 金原礦方塊
amethyst_block 紫水晶方塊
budding_amethyst 紫水晶芽床
iron_block 鐵方塊
copper_block 銅方塊
gold_block 黃金方塊
diamond_block 鑽石方塊
netherite_block 獄髓方塊
exposed_copper 斑駁的銅方塊
weathered_copper 風化的銅方塊
oxidized_copper 氧化的銅方塊
cut_copper 切製銅方塊
exposed_cut_copper 斑駁的切製銅方塊
weathered_cut_copper 風化的切製銅方塊
oxidized_cut_copper 氧化的切製銅方塊
cut_copper_stairs 切製銅階梯
exposed_cut_copper_stairs 斑駁的切製銅階梯
weathered_cut_copper_stairs 風化的切製銅階梯
oxidized_cut_copper_stairs 氧化的切製銅階梯
cut_copper_slab 切製銅半磚
exposed_cut_copper_slab 斑駁的切製銅半磚
weathered_cut_copper_slab 風化的切製銅半磚
oxidized_cut_copper_slab 氧化的切製銅半磚
waxed_copper_block 上蠟的銅方塊
waxed_exposed_copper 上蠟的斑駁銅方塊
waxed_weathered_copper 上蠟的風化銅方塊
waxed_oxidized_copper 上蠟的氧化銅方塊
waxed_cut_copper 上蠟的切製銅方塊
waxed_exposed_cut_copper 上蠟的斑駁切製銅方塊
waxed_weathered_cut_copper 上蠟的風化切製銅方塊
waxed_oxidized_cut_copper 上蠟的氧化切製銅方塊
waxed_cut_copper_stairs 上蠟的切製銅階梯
waxed_exposed_cut_copper_stairs 上蠟的斑駁切製銅階梯
waxed_weathered_cut_copper_stairs 上蠟的風化切製銅階梯
waxed_oxidized_cut_copper_stairs 上蠟的氧化切製銅階梯
waxed_cut_copper_slab 上蠟的切製銅半磚
waxed_exposed_cut_copper_slab 上蠟的斑駁切製銅半磚
waxed_weathered_cut_copper_slab 上蠟的風化切製銅半磚
waxed_oxidized_cut_copper_slab 上蠟的氧化切製銅半磚
oak_log 橡木原木
spruce_log 杉木原木
birch_log 樺木原木
jungle_log 叢林木原木
acacia_log 相思木原木
dark_oak_log 黑橡木原木
mangrove_log 紅樹林木原木
mangrove_roots 紅樹林木根
muddy_mangrove_roots 淤泥紅樹林木根
crimson_stem 緋紅蕈柄
warped_stem 扭曲蕈柄
stripped_oak_log 剝皮橡木原木
stripped_spruce_log 剝皮杉木原木
stripped_birch_log 剝皮樺木原木
stripped_jungle_log 剝皮叢林木原木
stripped_acacia_log 剝皮相思木原木
stripped_dark_oak_log 剝皮黑橡木原木
stripped_mangrove_log 剝皮紅樹林木原木
stripped_crimson_stem 剝皮緋紅蕈柄
stripped_warped_stem 剝皮扭曲蕈柄
stripped_oak_wood 剝皮橡木塊
stripped_spruce_wood 剝皮杉木塊
stripped_birch_wood 剝皮樺木塊
stripped_jungle_wood 剝皮叢林木塊
stripped_acacia_wood 剝皮相思木塊
stripped_dark_oak_wood 剝皮黑橡木塊
stripped_mangrove_wood 剝皮紅樹林木塊
stripped_crimson_hyphae 剝皮緋紅菌絲體
stripped_warped_hyphae 剝皮扭曲菌絲體
oak_wood 橡木塊
spruce_wood 杉木塊
birch_wood 樺木塊
jungle_wood 叢林木塊
acacia_wood 相思木塊
dark_oak_wood 黑橡木塊
mangrove_wood 紅樹林木塊
crimson_hyphae 緋紅菌絲體
warped_hyphae 扭曲菌絲體
oak_leaves 橡木樹葉
spruce_leaves 杉木樹葉
birch_leaves 樺木樹葉
jungle_leaves 叢林木樹葉
acacia_leaves 相思木樹葉
dark_oak_leaves 黑橡木樹葉
mangrove_leaves 紅樹林木樹葉
azalea_leaves 杜鵑葉
flowering_azalea_leaves 開花的杜鵑葉
sponge 海綿
wet_sponge 濕海綿
glass 玻璃
tinted_glass 遮光玻璃
lapis_block 青金石方塊
sandstone 砂岩
chiseled_sandstone 浮雕砂岩
cut_sandstone 切製砂岩
cobweb 蜘蛛網
grass 草
fern 蕨
azalea 杜鵑叢
flowering_azalea 開花的杜鵑叢
dead_bush 枯灌木
seagrass 海草
sea_pickle 海鞘
white_wool 白色羊毛
orange_wool 橙色羊毛
magenta_wool 洋紅色羊毛
light_blue_wool 淺藍色羊毛
yellow_wool 黃色羊毛
lime_wool 淺綠色羊毛
pink_wool 粉紅色羊毛
gray_wool 灰色羊毛
light_gray_wool 淺灰色羊毛
cyan_wool 青色羊毛
purple_wool 紫色羊毛
blue_wool 藍色羊毛
brown_wool 棕色羊毛
green_wool 綠色羊毛
red_wool 紅色羊毛
black_wool 黑色羊毛
dandelion 蒲公英
poppy 罌粟
blue_orchid 藍色蝴蝶蘭
allium 紫紅球花
azure_bluet 雛草
red_tulip 紅色鬱金香
orange_tulip 橙色鬱金香
white_tulip 白色鬱金香
pink_tulip 粉紅色鬱金香
oxeye_daisy 雛菊
cornflower 矢車菊
lily_of_the_valley 鈴蘭
wither_rose 凋零玫瑰
spore_blossom 孢子花
brown_mushroom 棕色蘑菇
red_mushroom 紅色蘑菇
crimson_fungus 緋紅蕈菇
warped_fungus 扭曲蕈菇
crimson_roots 緋紅蕈根
warped_roots 扭曲蕈根
nether_sprouts 地獄芽
weeping_vines 垂泣藤
twisting_vines 扭曲藤
sugar_cane 甘蔗
kelp 海帶
moss_carpet 覆地苔蘚
moss_block 苔蘚方塊
hanging_roots 懸根
big_dripleaf 大懸葉草
small_dripleaf 小懸葉草
bamboo 竹子
oak_slab 橡木半磚
spruce_slab 杉木半磚
birch_slab 樺木半磚
jungle_slab 叢林木半磚
acacia_slab 相思木半磚
dark_oak_slab 黑橡木半磚
mangrove_slab 紅樹林木半磚
crimson_slab 緋紅蕈木半磚
warped_slab 扭曲蕈木半磚
stone_slab 石半磚
smooth_stone_slab 平滑石半磚
sandstone_slab 砂岩半磚
cut_sandstone_slab 切製砂岩半磚
petrified_oak_slab 石化橡木半磚
cobblestone_slab 鵝卵石半磚
brick_slab 紅磚半磚
stone_brick_slab 石磚半磚
mud_brick_slab 泥磚半磚
nether_brick_slab 地獄磚半磚
quartz_slab 石英半磚
red_sandstone_slab 紅砂岩半磚
cut_red_sandstone_slab 切製紅砂岩半磚
purpur_slab 紫珀半磚
prismarine_slab 海磷石半磚
prismarine_brick_slab 海磷石磚半磚
dark_prismarine_slab 暗海磷石半磚
smooth_quartz 平滑石英方塊
smooth_red_sandstone 平滑紅砂岩
smooth_sandstone 平滑砂岩
smooth_stone 平滑石頭
bricks 紅磚
bookshelf 書櫃
mossy_cobblestone 青苔鵝卵石
obsidian 黑曜石
torch 火把
end_rod 終界燭
chorus_plant 歌萊枝
chorus_flower 歌萊花
purpur_block 紫珀方塊
purpur_pillar 紫珀柱
purpur_stairs 紫珀階梯
spawner 生怪磚
chest 儲物箱
crafting_table 工作台
farmland 耕地
furnace 熔爐
ladder 梯子
cobblestone_stairs 鵝卵石階梯
snow 雪
ice 冰
snow_block 雪塊
cactus 仙人掌
clay 黏土
jukebox 唱片機
oak_fence 橡木柵欄
spruce_fence 杉木柵欄
birch_fence 樺木柵欄
jungle_fence 叢林木柵欄
acacia_fence 相思木柵欄
dark_oak_fence 黑橡木柵欄
mangrove_fence 紅樹林木柵欄
crimson_fence 緋紅蕈木柵欄
warped_fence 扭曲蕈木柵欄
pumpkin 南瓜
carved_pumpkin 雕刻過的南瓜
jack_o_lantern 南瓜燈
netherrack 地獄石
soul_sand 靈魂砂
soul_soil 靈魂土
basalt 玄武岩
polished_basalt 拋光玄武岩
smooth_basalt 平滑玄武岩
soul_torch 靈魂火把
glowstone 螢光石
infested_stone 蛀蝕的石頭
infested_cobblestone 蛀蝕的鵝卵石
infested_stone_bricks 蛀蝕的石磚
infested_mossy_stone_bricks 蛀蝕的青苔石磚
infested_cracked_stone_bricks 蛀蝕的裂紋石磚
infested_chiseled_stone_bricks 蛀蝕的浮雕石磚
infested_deepslate 蛀蝕的深板岩
stone_bricks 石磚
mossy_stone_bricks 青苔石磚
cracked_stone_bricks 裂紋石磚
chiseled_stone_bricks 浮雕石磚
packed_mud 泥坯
mud_bricks 泥磚
deepslate_bricks 深板岩磚
cracked_deepslate_bricks 裂紋深板岩磚
deepslate_tiles 深板岩磚瓦
cracked_deepslate_tiles 裂紋深板岩磚瓦
chiseled_deepslate 浮雕深板岩
reinforced_deepslate 強化深板岩
iron_bars 鐵柵欄
chain 鎖鏈
glass_pane 玻璃片
melon 西瓜
vine 藤蔓
glow_lichen 發光地衣
brick_stairs 紅磚階梯
stone_brick_stairs 石磚階梯
mud_brick_stairs 泥磚階梯
mycelium 菌絲土
lily_pad 荷葉
nether_bricks 地獄磚
cracked_nether_bricks 裂紋地獄磚
chiseled_nether_bricks 浮雕地獄磚
nether_brick_fence 地獄磚柵欄
nether_brick_stairs 地獄磚階梯
sculk 伏聆
sculk_vein 伏聆脈絡
sculk_catalyst 伏聆觸媒
sculk_shrieker 伏聆嘯口
enchanting_table 附魔台
end_portal_frame 終界傳送門框架
end_stone 終界石
end_stone_bricks 終界石磚
dragon_egg 龍蛋
sandstone_stairs 砂岩階梯
ender_chest 終界箱
emerald_block 綠寶石方塊
oak_stairs 橡木階梯
spruce_stairs 杉木階梯
birch_stairs 樺木階梯
jungle_stairs 叢林木階梯
acacia_stairs 相思木階梯
dark_oak_stairs 黑橡木階梯
mangrove_stairs 紅樹林木階梯
crimson_stairs 緋紅蕈木階梯
warped_stairs 扭曲蕈木階梯
beacon 烽火台
cobblestone_wall 鵝卵石牆
mossy_cobblestone_wall 青苔鵝卵石牆
brick_wall 紅磚牆
prismarine_wall 海磷石牆
red_sandstone_wall 紅砂岩牆
mossy_stone_brick_wall 青苔石磚牆
granite_wall 花崗岩牆
stone_brick_wall 石磚牆
mud_brick_wall 泥磚牆
nether_brick_wall 地獄磚牆
andesite_wall 安山岩牆
red_nether_brick_wall 紅地獄磚牆
sandstone_wall 砂岩牆
end_stone_brick_wall 終界石磚牆
diorite_wall 閃長岩牆
blackstone_wall 黑石牆
polished_blackstone_wall 拋光黑石牆
polished_blackstone_brick_wall 拋光黑石磚牆
cobbled_deepslate_wall 碎深板岩牆
polished_deepslate_wall 拋光深板岩牆
deepslate_brick_wall 深板岩磚牆
deepslate_tile_wall 深板岩磚瓦牆
anvil 鐵砧
chipped_anvil 微損的鐵砧
damaged_anvil 耗損的鐵砧
chiseled_quartz_block 浮雕石英方塊
quartz_block 石英方塊
quartz_bricks 石英磚
quartz_pillar 石英柱
quartz_stairs 石英階梯
white_terracotta 白色陶土
orange_terracotta 橙色陶土
magenta_terracotta 洋紅色陶土
light_blue_terracotta 淺藍色陶土
yellow_terracotta 黃色陶土
lime_terracotta 淺綠色陶土
pink_terracotta 粉紅色陶土
gray_terracotta 灰色陶土
light_gray_terracotta 淺灰色陶土
cyan_terracotta 青色陶土
purple_terracotta 紫色陶土
blue_terracotta 藍色陶土
brown_terracotta 棕色陶土
green_terracotta 綠色陶土
red_terracotta 紅色陶土
black_terracotta 黑色陶土
barrier 屏障
hay_block 乾草捆
white_carpet 白色地毯
orange_carpet 橙色地毯
magenta_carpet 洋紅色地毯
light_blue_carpet 淺藍色地毯
yellow_carpet 黃色地毯
lime_carpet 淺綠色地毯
pink_carpet 粉紅色地毯
gray_carpet 灰色地毯
light_gray_carpet 淺灰色地毯
cyan_carpet 青色地毯
purple_carpet 紫色地毯
blue_carpet 藍色地毯
brown_carpet 棕色地毯
green_carpet 綠色地毯
red_carpet 紅色地毯
black_carpet 黑色地毯
terracotta 陶土
packed_ice 冰磚
dirt_path 土徑
sunflower 向日葵
lilac 紫丁香
rose_bush 玫瑰叢
peony 牡丹花
tall_grass 芒草
large_fern 大型蕨類
white_stained_glass 白色玻璃
orange_stained_glass 橙色玻璃
magenta_stained_glass 洋紅色玻璃
light_blue_stained_glass 淺藍色玻璃
yellow_stained_glass 黃色玻璃
lime_stained_glass 淺綠色玻璃
pink_stained_glass 粉紅色玻璃
gray_stained_glass 灰色玻璃
light_gray_stained_glass 淺灰色玻璃
cyan_stained_glass 青色玻璃
purple_stained_glass 紫色玻璃
blue_stained_glass 藍色玻璃
brown_stained_glass 棕色玻璃
green_stained_glass 綠色玻璃
red_stained_glass 紅色玻璃
black_stained_glass 黑色玻璃
white_stained_glass_pane 白色玻璃片
orange_stained_glass_pane 橙色玻璃片
magenta_stained_glass_pane 洋紅色玻璃片
light_blue_stained_glass_pane 淺藍色玻璃片
yellow_stained_glass_pane 黃色玻璃片
lime_stained_glass_pane 淺綠色玻璃片
pink_stained_glass_pane 粉紅色玻璃片
gray_stained_glass_pane 灰色玻璃片
light_gray_stained_glass_pane 淺灰色玻璃片
cyan_stained_glass_pane 青色玻璃片
purple_stained_glass_pane 紫色玻璃片
blue_stained_glass_pane 藍色玻璃片
brown_stained_glass_pane 棕色玻璃片
green_stained_glass_pane 綠色玻璃片
red_stained_glass_pane 紅色玻璃片
black_stained_glass_pane 黑色玻璃片
prismarine 海磷石
prismarine_bricks 海磷石磚
dark_prismarine 暗海磷石
prismarine_stairs 海磷石階梯
prismarine_brick_stairs 海磷石磚階梯
dark_prismarine_stairs 暗海磷石階梯
sea_lantern 海燈籠
red_sandstone 紅砂岩
chiseled_red_sandstone 浮雕紅砂岩
cut_red_sandstone 切製紅砂岩
red_sandstone_stairs 紅砂岩階梯
magma_block 岩漿塊
nether_wart_block 地獄疙瘩塊
warped_wart_block 扭曲疙瘩塊
red_nether_bricks 紅地獄磚
bone_block 骨塊
shulker_box 界伏盒
white_shulker_box 白色界伏盒
orange_shulker_box 橙色界伏盒
magenta_shulker_box 洋紅色界伏盒
light_blue_shulker_box 淺藍色界伏盒
yellow_shulker_box 黃色界伏盒
lime_shulker_box 淺綠色界伏盒
pink_shulker_box 粉紅色界伏盒
gray_shulker_box 灰色界伏盒
light_gray_shulker_box 淺灰色界伏盒
cyan_shulker_box 青色界伏盒
purple_shulker_box 紫色界伏盒
blue_shulker_box 藍色界伏盒
brown_shulker_box 棕色界伏盒
green_shulker_box 綠色界伏盒
red_shulker_box 紅色界伏盒
black_shulker_box 黑色界伏盒
white_glazed_terracotta 白色釉陶
orange_glazed_terracotta 橙色釉陶
magenta_glazed_terracotta 洋紅色釉陶
light_blue_glazed_terracotta 淺藍色釉陶
yellow_glazed_terracotta 黃色釉陶
lime_glazed_terracotta 淺綠色釉陶
pink_glazed_terracotta 粉紅色釉陶
gray_glazed_terracotta 灰色釉陶
light_gray_glazed_terracotta 淺灰色釉陶
cyan_glazed_terracotta 青色釉陶
purple_glazed_terracotta 紫色釉陶
blue_glazed_terracotta 藍色釉陶
brown_glazed_terracotta 棕色釉陶
green_glazed_terracotta 綠色釉陶
red_glazed_terracotta 紅色釉陶
black_glazed_terracotta 黑色釉陶
white_concrete 白色混凝土
orange_concrete 橙色混凝土
magenta_concrete 洋紅色混凝土
light_blue_concrete 淺藍色混凝土
yellow_concrete 黃色混凝土
lime_concrete 淺綠色混凝土
pink_concrete 粉紅色混凝土
gray_concrete 灰色混凝土
light_gray_concrete 淺灰色混凝土
cyan_concrete 青色混凝土
purple_concrete 紫色混凝土
blue_concrete 藍色混凝土
brown_concrete 棕色混凝土
green_concrete 綠色混凝土
red_concrete 紅色混凝土
black_concrete 黑色混凝土
white_concrete_powder 白色混凝土粉末
orange_concrete_powder 橙色混凝土粉末
magenta_concrete_powder 洋紅色混凝土粉末
light_blue_concrete_powder 淺藍色混凝土粉末
yellow_concrete_powder 黃色混凝土粉末
lime_concrete_powder 淺綠色混凝土粉末
pink_concrete_powder 粉紅色混凝土粉末
gray_concrete_powder 灰色混凝土粉末
light_gray_concrete_powder 淺灰色混凝土粉末
cyan_concrete_powder 青色混凝土粉末
purple_concrete_powder 紫色混凝土粉末
blue_concrete_powder 藍色混凝土粉末
brown_concrete_powder 棕色混凝土粉末
green_concrete_powder 綠色混凝土粉末
red_concrete_powder 紅色混凝土粉末
black_concrete_powder 黑色混凝土粉末
turtle_egg 海龜蛋
dead_tube_coral_block 死亡的管珊瑚方塊
dead_brain_coral_block 死亡的腦珊瑚方塊
dead_bubble_coral_block 死亡的氣泡珊瑚方塊
dead_fire_coral_block 死亡的火珊瑚方塊
dead_horn_coral_block 死亡的角珊瑚方塊
tube_coral_block 管珊瑚方塊
brain_coral_block 腦珊瑚方塊
bubble_coral_block 氣泡珊瑚方塊
fire_coral_block 火珊瑚方塊
horn_coral_block 角珊瑚方塊
tube_coral 管珊瑚
brain_coral 腦珊瑚
bubble_coral 氣泡珊瑚
fire_coral 火珊瑚
horn_coral 角珊瑚
dead_brain_coral 死亡的腦珊瑚
dead_bubble_coral 死亡的氣泡珊瑚
dead_fire_coral 死亡的火珊瑚
dead_horn_coral 死亡的角珊瑚
dead_tube_coral 死亡的管珊瑚
tube_coral_fan 扇狀管珊瑚
brain_coral_fan 扇狀腦珊瑚
bubble_coral_fan 扇狀氣泡珊瑚
fire_coral_fan 扇狀火珊瑚
horn_coral_fan 扇狀角珊瑚
dead_tube_coral_fan 死亡的扇狀管珊瑚
dead_brain_coral_fan 死亡的扇狀腦珊瑚
dead_bubble_coral_fan 死亡的扇狀氣泡珊瑚
dead_fire_coral_fan 死亡的扇狀火珊瑚
dead_horn_coral_fan 死亡的扇狀角珊瑚
blue_ice 藍冰
conduit 海靈核心
polished_granite_stairs 拋光花崗岩階梯
smooth_red_sandstone_stairs 平滑紅砂岩階梯
mossy_stone_brick_stairs 青苔石磚階梯
polished_diorite_stairs 拋光閃長岩階梯
mossy_cobblestone_stairs 青苔鵝卵石階梯
end_stone_brick_stairs 終界石磚階梯
stone_stairs 石頭階梯
smooth_sandstone_stairs 平滑砂岩階梯
smooth_quartz_stairs 平滑石英階梯
granite_stairs 花崗岩階梯
andesite_stairs 安山岩階梯
red_nether_brick_stairs 紅地獄磚階梯
polished_andesite_stairs 拋光安山岩階梯
diorite_stairs 閃長岩階梯
cobbled_deepslate_stairs 碎深板岩階梯
polished_deepslate_stairs 拋光深板岩階梯
deepslate_brick_stairs 深板岩磚階梯
deepslate_tile_stairs 深板岩磚瓦階梯
polished_granite_slab 拋光花崗岩半磚
smooth_red_sandstone_slab 平滑紅砂岩半磚
mossy_stone_brick_slab 青苔石磚半磚
polished_diorite_slab 拋光閃長岩半磚
mossy_cobblestone_slab 青苔鵝卵石半磚
end_stone_brick_slab 終界石磚半磚
smooth_sandstone_slab 平滑砂岩半磚
smooth_quartz_slab 平滑石英半磚
granite_slab 花崗岩半磚
andesite_slab 安山岩半磚
red_nether_brick_slab 紅地獄磚半磚
polished_andesite_slab 拋光安山岩半磚
diorite_slab 閃長岩半磚
cobbled_deepslate_slab 碎深板岩半磚
polished_deepslate_slab 拋光深板岩半磚
deepslate_brick_slab 深板岩磚半磚
deepslate_tile_slab 深板岩磚瓦半磚
scaffolding 鷹架
redstone 紅石粉
redstone_torch 紅石火把
redstone_block 紅石方塊
repeater 紅石中繼器
comparator 紅石比較器
piston 活塞
sticky_piston 黏性活塞
slime_block 史萊姆方塊
honey_block 蜂蜜塊
observer 偵測器
hopper 漏斗
dispenser 發射器
dropper 投擲器
lectern 講台
target 標靶
lever 控制桿
lightning_rod 避雷針
daylight_detector 日光感測器
sculk_sensor 伏聆振測器
tripwire_hook 絆線鉤
trapped_chest 陷阱儲物箱
tnt TNT
redstone_lamp 紅石燈
note_block 音階盒
stone_button 石製按鈕
polished_blackstone_button 拋光黑石按鈕
oak_button 橡木按鈕
spruce_button 杉木按鈕
birch_button 樺木按鈕
jungle_button 叢林木按鈕
acacia_button 相思木按鈕
dark_oak_button 黑橡木按鈕
mangrove_button 紅樹林木按鈕
crimson_button 緋紅蕈木按鈕
warped_button 扭曲蕈木按鈕
stone_pressure_plate 石製壓力板
polished_blackstone_pressure_plate 拋光黑石壓力板
light_weighted_pressure_plate 輕質測重壓力板
heavy_weighted_pressure_plate 重質測重壓力板
oak_pressure_plate 橡木壓力板
spruce_pressure_plate 杉木壓力板
birch_pressure_plate 樺木壓力板
jungle_pressure_plate 叢林木壓力板
acacia_pressure_plate 相思木壓力板
dark_oak_pressure_plate 黑橡木壓力板
mangrove_pressure_plate 紅樹林木壓力板
crimson_pressure_plate 緋紅蕈木壓力板
warped_pressure_plate 扭曲蕈木壓力板
iron_door 鐵門
oak_door 橡木門
spruce_door 杉木門
birch_door 樺木門
jungle_door 叢林木門
acacia_door 相思木門
dark_oak_door 黑橡木門
mangrove_door 紅樹林木門
crimson_door 緋紅蕈木門
warped_door 扭曲蕈木門
iron_trapdoor 鐵製地板門
oak_trapdoor 橡木地板門
spruce_trapdoor 杉木地板門
birch_trapdoor 樺木地板門
jungle_trapdoor 叢林木地板門
acacia_trapdoor 相思木地板門
dark_oak_trapdoor 黑橡木地板門
mangrove_trapdoor 紅樹林木地板門
crimson_trapdoor 緋紅蕈木地板門
warped_trapdoor 扭曲蕈木地板門
oak_fence_gate 橡木柵欄門
spruce_fence_gate 杉木柵欄門
birch_fence_gate 樺木柵欄門
jungle_fence_gate 叢林木柵欄門
acacia_fence_gate 相思木柵欄門
dark_oak_fence_gate 黑橡木柵欄門
mangrove_fence_gate 紅樹林木柵欄門
crimson_fence_gate 緋紅蕈木柵欄門
warped_fence_gate 扭曲蕈木柵欄門
powered_rail 動力鐵軌
detector_rail 感測鐵軌
rail 鐵軌
activator_rail 觸發鐵軌
saddle 鞍
minecart 礦車
chest_minecart 儲物箱礦車
furnace_minecart 熔爐礦車
tnt_minecart TNT 礦車
hopper_minecart 漏斗礦車
carrot_on_a_stick 胡蘿蔔釣竿
warped_fungus_on_a_stick 扭曲蕈菇釣竿
elytra 鞘翅
oak_boat 橡木船
oak_chest_boat 儲物箱橡木船
spruce_boat 杉木船
spruce_chest_boat 儲物箱杉木船
birch_boat 樺木船
birch_chest_boat 儲物箱樺木船
jungle_boat 叢林木船
jungle_chest_boat 儲物箱叢林木船
acacia_boat 相思木船
acacia_chest_boat 儲物箱相思木船
dark_oak_boat 黑橡木船
dark_oak_chest_boat 儲物箱黑橡木船
mangrove_boat 紅樹林木船
mangrove_chest_boat 儲物箱紅樹林木船
turtle_helmet 海龜殼
scute 鱗甲
flint_and_steel 打火石
apple 蘋果
bow 弓
arrow 箭矢
coal 煤炭
charcoal 木炭
diamond 鑽石
emerald 綠寶石
lapis_lazuli 青金石
quartz 地獄石英
amethyst_shard 紫水晶碎片
raw_iron 鐵原礦
iron_ingot 鐵錠
raw_copper 銅原礦
copper_ingot 銅錠
raw_gold 金原礦
gold_ingot 金錠
netherite_ingot 獄髓錠
netherite_scrap 獄髓碎片
wooden_sword 木劍
wooden_shovel 木鏟
wooden_pickaxe 木鎬
wooden_axe 木斧
wooden_hoe 木鋤
stone_sword 石劍
stone_shovel 石鏟
stone_pickaxe 石鎬
stone_axe 石斧
stone_hoe 石鋤
golden_sword 金劍
golden_shovel 金鏟
golden_pickaxe 金鎬
golden_axe 金斧
golden_hoe 金鋤
iron_sword 鐵劍
iron_shovel 鐵鏟
iron_pickaxe 鐵鎬
iron_axe 鐵斧
iron_hoe 鐵鋤
diamond_sword 鑽石劍
diamond_shovel 鑽石鏟
diamond_pickaxe 鑽石鎬
diamond_axe 鑽石斧
diamond_hoe 鑽石鋤
netherite_sword 獄髓劍
netherite_shovel 獄髓鏟
netherite_pickaxe 獄髓鎬
netherite_axe 獄髓斧
netherite_hoe 獄髓鋤
stick 木棒
bowl 碗
mushroom_stew 蘑菇湯
string 線
feather 羽毛
gunpowder 火藥
wheat_seeds 小麥種子
wheat 小麥
bread 麵包
leather_helmet 皮革帽子
leather_chestplate 皮革上衣
leather_leggings 皮革褲子
leather_boots 皮革靴子
chainmail_helmet 鎖鏈頭盔
chainmail_chestplate 鎖鏈胸甲
chainmail_leggings 鎖鏈護腿
chainmail_boots 鎖鏈靴子
iron_helmet 鐵製頭盔
iron_chestplate 鐵製胸甲
iron_leggings 鐵製護腿
iron_boots 鐵製靴子
diamond_helmet 鑽石頭盔
diamond_chestplate 鑽石胸甲
diamond_leggings 鑽石護腿
diamond_boots 鑽石靴子
golden_helmet 黃金頭盔
golden_chestplate 黃金胸甲
golden_leggings 黃金護腿
golden_boots 黃金靴子
netherite_helmet 獄髓頭盔
netherite_chestplate 獄髓胸甲
netherite_leggings 獄髓護腿
netherite_boots 獄髓靴子
flint 燧石
porkchop 生豬肉
cooked_porkchop 烤豬肉
painting 繪畫
golden_apple 金蘋果
enchanted_golden_apple 附魔金蘋果
oak_sign 橡木告示牌
spruce_sign 杉木告示牌
birch_sign 樺木告示牌
jungle_sign 叢林木告示牌
acacia_sign 相思木告示牌
dark_oak_sign 黑橡木告示牌
mangrove_sign 紅樹林木告示牌
crimson_sign 緋紅蕈木告示牌
warped_sign 扭曲蕈木告示牌
bucket 鐵桶
water_bucket 水桶
lava_bucket 熔岩桶
powder_snow_bucket 粉雪桶
snowball 雪球
leather 皮革
milk_bucket 鮮奶桶
pufferfish_bucket 河豚桶
salmon_bucket 鮭魚桶
cod_bucket 鱈魚桶
tropical_fish_bucket 熱帶魚桶
axolotl_bucket 六角恐龍桶
tadpole_bucket 蝌蚪桶
brick 紅磚頭
clay_ball 黏土球
dried_kelp_block 海帶乾塊
paper 紙
book 書
slime_ball 史萊姆球
egg 雞蛋
compass 羅盤
recovery_compass 回生羅盤
bundle 束口袋
fishing_rod 釣竿
clock 時鐘
spyglass 望遠鏡
glowstone_dust 螢石粉
cod 生鱈魚
salmon 生鮭魚
tropical_fish 熱帶魚
pufferfish 河豚
cooked_cod 烤鱈魚
cooked_salmon 烤鮭魚
ink_sac 墨囊
glow_ink_sac 螢光墨囊
cocoa_beans 可可豆
white_dye 白色染料
orange_dye 橙色染料
magenta_dye 洋紅色染料
light_blue_dye 淺藍色染料
yellow_dye 黃色染料
lime_dye 淺綠色染料
pink_dye 粉紅色染料
gray_dye 灰色染料
light_gray_dye 淺灰色染料
cyan_dye 青色染料
purple_dye 紫色染料
blue_dye 藍色染料
brown_dye 棕色染料
green_dye 綠色染料
red_dye 紅色染料
black_dye 黑色染料
bone_meal 骨粉
bone 骨頭
sugar 糖
cake 蛋糕
white_bed 白色床
orange_bed 橙色床
magenta_bed 洋紅色床
light_blue_bed 淺藍色床
yellow_bed 黃色床
lime_bed 淺綠色床
pink_bed 粉紅色床
gray_bed 灰色床
light_gray_bed 淺灰色床
cyan_bed 青色床
purple_bed 紫色床
blue_bed 藍色床
brown_bed 棕色床
green_bed 綠色床
red_bed 紅色床
black_bed 黑色床
cookie 餅乾
shears 剪刀
melon_slice 西瓜片
dried_kelp 海帶乾
pumpkin_seeds 南瓜種子
melon_seeds 西瓜種子
beef 生牛肉
cooked_beef 牛排
chicken 生雞肉
cooked_chicken 烤雞
rotten_flesh 腐肉
ender_pearl 終界珍珠
blaze_rod 烈焰桿
ghast_tear 幽靈之淚
gold_nugget 金粒
nether_wart 地獄疙瘩
potion 藥水
glass_bottle 玻璃瓶
spider_eye 蜘蛛眼
fermented_spider_eye 發酵蜘蛛眼
blaze_powder 烈焰粉
magma_cream 岩漿球
brewing_stand 釀造台
cauldron 鍋釜
ender_eye 終界之眼
glistering_melon_slice 鑲金西瓜片
allay_spawn_egg 悅靈 生怪蛋
axolotl_spawn_egg 六角恐龍 生怪蛋
bat_spawn_egg 蝙蝠 生怪蛋
bee_spawn_egg 蜜蜂 生怪蛋
blaze_spawn_egg 烈焰使者 生怪蛋
cat_spawn_egg 貓 生怪蛋
cave_spider_spawn_egg 洞穴蜘蛛 生怪蛋
chicken_spawn_egg 雞 生怪蛋
cod_spawn_egg 鱈魚 生怪蛋
cow_spawn_egg 牛 生怪蛋
creeper_spawn_egg 苦力怕 生怪蛋
dolphin_spawn_egg 海豚 生怪蛋
donkey_spawn_egg 驢子 生怪蛋
drowned_spawn_egg 沉屍 生怪蛋
elder_guardian_spawn_egg 遠古深海守衛 生怪蛋
